1482912157.732	#42	539	248	234	4	53	39	30	137	0	200
1482912158.001	#43	282	18	214	5	45	6	30	137	0	200
1482912158.270	#44	586	278	256	4	48	44	30	137	0	200
1482912158.533	#45	614	273	289	5	47	44	30	137	0	200
1482912158.794	#46	323	72	202	4	45	6	30	137	0	200
1482912159.053	#47	326	78	198	4	46	6	30	137	0	200
1482912159.309	#48	356	81	222	4	49	7	30	137	0	200
1482912159.562	#49	936	223	573	14	126	21	30	137	0	200
1482912159.813	#50	412	87	262	6	57	8	30	137	0	200
1482912160.061	#51	557	122	351	8	76	11	30	137	0	200
1482912160.309	#52	528	234	243	4	47	36	30	137	0	200
1482912160.553	#53	1076	185	726	17	148	22	30	137	0	200
1482912160.796	#54	586	312	220	5	49	27	30	137	0	200
1482912161.036	#55	522	192	30	263	37	303	30	137	0	200
1482912161.274	#56	384	74	209	4	97	5	30	137	0	200
1482912161.510	#57	505	215	239	4	47	33	30	137	0	200
1482912161.744	#58	528	255	222	4	47	39	30	137	0	200
1482912161.976	#59	377	125	200	4	48	6	30	137	0	200
1482912162.206	#60	340	92	196	4	48	6	30	137	0	200
1482912162.435	#61	398	130	216	4	48	19	30	137	0	200
1482912162.661	#62	374	120	202	4	48	6	30	137	0	200
1482912162.886	#63	379	76	248	5	50	7	30	137	0	200
1482912163.110	#64	866	204	550	11	101	15	30	137	0	200
1482912163.331	#65	338	73	213	4	48	6	30	137	0	200
1482912163.552	#66	325	73	200	5	47	6	30	137	0	200
1482912163.770	#67	322	74	197	4	47	6	30	137	0	200
1482912163.987	#68	325	73	200	4	48	5	30	137	0	200
1482912164.203	#69	696	370	275	4	47	60	30	137	0	200
1482912164.416	#70	321	72	197	4	48	6	30	137	0	200
1482912164.629	#71	317	70	196	4	47	6	30	137	0	200
1482912164.840	#72	323	74	198	4	47	6	30	137	0	200
1482912165.049	#73	309	78	183	4	44	6	30	137	0	200
1482912165.258	#74	382	76	223	5	78	6	30	137	0	200
1482912165.464	#75	316	69	195	4	48	6	30	137	0	200
1482912165.670	#76	6810	258	6372	20	160	29	30	137	0	200
1482912165.875	#77	864	162	563	14	125	20	30	137	0	200
1482912166.078	#78	540	79	19	398	44	403	30	137	0	200
1482912166.279	#79	328	74	202	4	48	6	30	137	0	200
1482912166.480	#80	338	72	215	4	47	6	30	137	0	200
1482912166.680	#81	299	64	189	5	41	6	30	137	0	200
1482912166.878	#82	317	73	194	4	46	5	30	137	0	200
1482912167.075	#83	882	447	349	5	81	84	30	137	0	200
1482912167.270	#84	301	66	185	4	46	5	30	137	0	200
1482912167.466	#85	321	73	197	4	47	6	30	137	0	200
1482912167.658	#86	341	76	213	5	47	6	30	137	0	200
1482912167.852	#87	318	70	196	4	48	6	30	137	0	200
1482912168.044	#88	332	86	194	4	48	6	30	137	0	200
1482912168.234	#89	340	75	195	4	66	7	30	137	0	200
1482912168.424	#90	530	131	274	10	115	14	30	137	0	200
1482912168.612	#91	690	135	449	10	96	15	30	137	0	200
1482912168.799	#92	473	88	299	6	80	8	30	137	0	200
1482912168.987	#93	548	168	285	6	89	25	30	137	0	200
1482912169.172	#94	423	97	257	6	63	8	30	137	0	200
1482912169.356	#95	435	89	277	6	63	8	30	137	0	200
1482912169.540	#96	654	300	260	6	88	9	30	137	0	200
1482912169.722	#97	275	57	176	3	39	6	30	137	0	200
1482912169.904	#98	320	73	196	4	47	6	30	137	0	200
1482912170.084	#99	1198	298	677	16	207	23	30	137	0	200
1482912170.265	#100	614	119	400	9	86	12	30	137	0	200
1482912170.444	#101	375	84	230	5	56	6	30	137	0	200
1482912170.623	#102	651	81	238	5	327	7	30	137	0	200
1482912170.800	#103	311	70	195	4	42	5	30	137	0	200
1482912170.977	#104	593	119	383	8	83	11	30	137	0	200
1482912171.152	#105	394	94	240	5	55	7	30	137	0	200
1482912171.327	#106	706	264	382	5	55	41	30	137	0	200
1482912171.501	#107	368	89	220	5	54	7	30	137	0	200
1482912171.675	#108	380	83	235	6	56	9	30	137	0	200
1482912171.848	#109	355	79	221	4	51	6	30	137	0	200
1482912172.020	#110	415	108	16	262	29	266	30	137	0	200
1482912172.191	#111	320	75	195	4	46	5	30	137	0	200
1482912172.361	#112	633	317	264	4	48	51	30	137	0	200
1482912172.531	#113	318	72	195	4	47	7	30	137	0	200
1482912172.700	#114	653	179	364	11	99	16	30	137	0	200
1482912172.868	#115	416	97	279	6	34	8	30	137	0	200
1482912173.037	#116	615	304	260	4	47	47	30	137	0	200
1482912173.202	#117	298	63	189	4	42	6	30	137	0	200
1482912173.368	#118	318	72	194	5	47	6	30	137	0	200
1482912173.534	#119	319	71	198	4	46	6	30	137	0	200
1482912173.699	#120	451	201	199	4	47	6	30	137	0	200
1482912173.863	#121	310	67	195	4	44	5	30	137	0	200
1482912174.026	#122	329	58	14	231	26	234	30	137	0	200
1482912174.189	#123	319	70	198	4	47	6	30	137	0	200
1482912174.351	#124	343	76	216	5	46	6	30	137	0	200
1482912174.512	#125	323	76	196	4	47	6	30	137	0	200
1482912174.673	#126	330	79	199	4	48	6	30	137	0	200
1482912174.833	#127	308	68	194	5	41	6	30	137	0	200
1482912174.993	#128	341	71	219	4	47	6	30	137	0	200
